Valence,Precision,Recall,True Positives,False Positives,False Negatives
1,0.0000,0.0000,0,2,4
2,1.0000,0.0021,1,0,484
3,0.0000,0.0000,0,0,8
4,0.0000,0.0000,0,0,1
