Valence,Precision,Recall,True Positives,False Positives,False Negatives
1,0.0000,0.0000,0,2,5
2,1.0000,0.0021,1,0,480
3,0.0000,0.0000,0,0,3
4,0.0000,0.0000,0,0,1
