Valence,Precision,Recall,True Positives,False Positives,False Negatives
1,0.0000,0.0000,0,7,6
2,0.9309,0.9705,593,44,18
3,0.4286,0.5000,3,4,3
4,0.3333,0.2857,2,4,5
